Церемония	Актриса	Фильм(ы)	Роль
54-я	Марша Мейсон	Только когда я смеюсь	Джорджия Хайнц
54-я	Сьюзан Сарандон	Атлантик-Сити	Салли Мэтьюс
54-я	Мерил Стрип	Женщина французского лейтенанта	Сара Вудраф / Анна
55-я	Мерил Стрип	Выбор Софи	Софи Завистовски
55-я	Джули Эндрюс	Виктор/Виктория	Виктория Грант / граф Виктор Гражински
55-я	Джессика Лэнг	Фрэнсис	Фрэнсис Фармер
55-я	Сисси Спейсек	Пропавший без вести	Бет Хорман
55-я	Дебра Уингер	Офицер и джентльмен	Пола Покрифки
56-я	Ширли Маклейн	Язык нежности	Аврора Гринуэй
56-я	Джейн Александер	Завещание	Кэрол Уэтерли
56-я	Мерил Стрип	Силквуд	Карен Силквуд
56-я	Джули Уолтерс	Воспитание Риты	Сьюзен «Рита» Уайт
56-я	Дебра Уингер	Язык нежности	Эмма Гринуэй Хортон
57-я	Салли Филд	Места в сердце	Эдна Сполдинг
57-я	Джуди Дэвис	Поездка в Индию	Адела Куэстед
57-я	Джессика Лэнг	Деревня	Джевелл Айви
57-я	Ванесса Редгрейв	Бостонцы	Олив Чанселлор
57-я	Сисси Спейсек	Река	Мэй Гарви
58-я	Джеральдин Пейдж	Поездка в Баунтифул	Кэрри Уоттс
58-я	Энн Бэнкрофт	Агнесса божья	мать-настоятельница Мириам Рут
58-я	Вупи Голдберг	Цветы лиловые полей	Сели Джонсон
58-я	Джессика Лэнг	Сладкие грёзы	Пэтси Клайн
58-я	Мерил Стрип	Из Африки	Карен Бликсен
59-я	Марли Мэтлин	Дети меньшего бога	Сара Норман
59-я	Джейн Фонда	На следующее утро	Алекс Стернберген
59-я	Сисси Спейсек	Преступления сердца	Бэйб
59-я	Кэтлин Тёрнер	Пегги Сью вышла замуж	Пегги Сью
59-я	Сигурни Уивер	Чужие	Эллен Рипли
60-я	Шер	Власть луны	Лоретта Касторини
60-я	Гленн Клоуз	Роковое влечение	Алекс Форрест
60-я	Холли Хантер	Телевизионные новости	Джейн Крэйг
60-я	Салли Кёркленд	Анна	Анна
